angles,catala,espanyol,alemany,frances,polones,portugues,romanes,italia,suec
leave,deixar,abandonar,verlassen,Pars,Odejdź,sair,părăsi,partire,lämna
song,cançó,canción,Lied,chanson,utwór muzyczny,música,cântec,canzone,låt
measure,mesurar,medida,messen,mesure,mierzyć,a medida,măsura,misurare,mäta
door,porta,puerta,Tür,porte,drzwi,porta,uşă,porta,dörr
product,producte,producto,Produkt,produit,produkt,produtos,produs,Prodotto,produkt
black,negre,negro,Schwarz,le noir,czarny,Preto,negru,Nero,svart
short,curta,corto,kurz,court,niski,curto,mic de statura,breve,kort
numeral,numeral,número,Ziffer,numéral,liczbowy,numeral,numeral,numerale,siffra
class,classe,clase,Klasse,classer,klasa,classe,clasă,classe,klass
wind,vent,viento,Wind,vent,wiatr,vento,vânt,vento,vind
question,pregunta,pregunta,Frage,question,pytanie,pergunta,întrebare,domanda,fråga
happen,succeir,suceder,passieren,se produire,zdarzyć,acontecer,întâmpla,accadere,hända
complete,completa,completo,Komplett,Achevée,kompletny,completo,complet,completare,komplett
ship,vaixell,Embarcacion,Schiff,bateau,statek,navio,navă,nave,fartyg
area,zona,área,Bereich,Région,powierzchnia,área,zonă,la zona,område
half,mitjà,mitad,halb,demi,połowa,metade,jumătate,metà,halv
rock,roca,roca,Felsen,rock,głaz,Rocha,Rock,roccia,sten
order,fi,ordenar,bestellen,ordre,zamówienie,ordem,Ordin,ordine,ordning
fire,foc,fuego,Feuer,Feu,ogień,incêndio,foc,fuoco,brand
south,sud,sur,Süden,sud,południe,sul,sud,Sud,söder
problem,problema,problema,Problem,problème,problem,problema,problemă,problema,problem
piece,peça,pieza,Stück,pièce,kawałek,peça,bucată,pezzo,bit
told,dit,dicho,gesagt,Raconté,powiedział,contou,spus,detto,berättade
knew,sabia,supo,wusste,connaissait,Wiedziałem,sabia,știa,conosceva,visste
pass,passar,pasar,passieren,passer,podawać,passar,trece,passaggio,passera
since,des,ya que,seit,puisque,odkąd,desde,de cand,da,eftersom
top,superior,parte superior,oben,Haut,Top,topo,top,superiore,topp
whole,tot,entero,ganz,ensemble,cały,todo,întreg,totale,hela
king,rei,rey,König,Roi,król,rei,rege,re,kung
street,carrer,calle,Straße,rue,ulica,rua,stradă,strada,gata
inch,polzades,pulgada,Zoll,pouce,cal,polegada,inch,pollice,tum
multiply,multiplicar,multiplicar,multiplizieren,multiplier,zwielokrotniać,multiplicar,multiplica,moltiplicare,multiplicera
nothing,res,nada,nichts,rien,nic,nada,nimic,niente,ingenting
course,curs,curso,Kurs,cours,kurs,curso,curs,corso,kurs
stay,quedar,Quédate,bleibe,rester,zostawać,fique,stau,restare,stanna kvar
wheel,roda,rueda,Rad,la roue,koło,roda,roată,ruota,hjul
full,complet,completo,voll,plein,pełny,cheio,deplin,completo,full
force,força,fuerza,Macht,Obliger,zmuszać,força,forta,forza,tvinga
blue,blau,azul,blau,bleu,niebieski,azul,albastru,blu,blå
object,objecte,objeto,Objekt,objet,obiekt,objeto,obiect,oggetto,objekt
decide,decidir,decidir,sich entscheiden,décider,zdecydować,decidir,decide,decidere,besluta
surface,superfície,superficie,auftauchen,surface,powierzchnia,superfície,suprafaţă,superficie,yta
deep,profunda,profundo,tief,Profond,głęboko,profundo,adânc,profondo,djup
moon,lluna,luna,Mond,lune,księżyc,lua,Luna,Luna,måne
island,illa,isla,Insel,île,wyspa,ilha,insulă,isola,ö
foot,peu,pie,Fuß,le pied,stopa,pé,picior,piede,fot
system,sistema,sistema,System,système,system,sistema,sistem,sistema,systemet
busy,ocupat,ocupado,belebt,occupé,zajęty,ocupado,ocupat,occupato,upptagen
test,prova,prueba,Prüfung,test,test,teste,Test,test,testa
record,registre,registro,Aufzeichnung,enregistrement,nagrywać,registro,record,disco,spela in
boat,vaixell,barco,Boot,bateau,łódź,barco,barcă,barca,båt
common,comú,común,gemeinsames,commun,wspólny,comum,uzual,Comune,allmänning
gold,or,oro,Gold,or,złoto,ouro,aur,oro,guld-
possible,possible,posible,möglich,possible,możliwy,possível,posibil,possibile,möjlig
plane,pla,plano,Flugzeug,avion,samolot,avião,avion,aereo,plan
stead,lloc,lugar,Statt,place,STEAD,lugar,stea,poster,ställe
dry,seca,seco,trocken,sec,suchy,seco,uscat,asciutto,torr
wonder,pregunto,preguntarse,sich fragen,merveille,cud,maravilha,mirare,meraviglia,undra
laugh,riure,risa,Lachen,rire,śmiać się,riso,a rade,ridere,skratt
thousand,mil,mil,tausend,mille,tysiąc,mil,mie,mille,tusen
ago,fa,atrás,vor,depuis,temu,atrás,în urmă,fa,sedan
ran,córrer,corrió,rannte,couru,biegł,correu,a fugit,corse,sprang
check,comprovar,controlar,überprüfen,Chèque,sprawdzać,Verifica,Verifica,dai un'occhiata,kolla upp
game,joc,juego,Spiel,Jeu,gra,jogos,joc,gioco,spel
shape,forma,forma,Form,forme,kształt,forma,formă,forma,form
equate,equiparar,equiparar,gleich,assimiler,zrównać,igualar,echivala,equipaggiare,likställa
hot,calenta,caliente,heiß,chaud,gorący,quente,Fierbinte,piccante,varm
miss,senyoreta,señorita,fehlschlagen,Mademoiselle,tęsknić,senhorita,Domnișoară,Perdere,Fröken
brought,portat,trajo,gebracht,amené,przyniósł,trouxeram,adus,portato,tog med
heat,calor,calor,Wärme,Chauffer,ciepło,aquecer,căldură,calore,värme
snow,neu,nieve,Schnee,neiger,śnieg,neve,zăpadă,neve,snö
tire,pneumàtics,neumático,Reifen,pneu,opona,pneu,obosi,pneumatico,däck
bring,portar,traer,bringen,apporter,przynieść,trazer,aduce,portare,föra
